Pickup Location,Dropoff Location,Rate,Truck Type,Moving Type
"Houston, TX","Jacksonville, FL",1155.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Jacksonville, FL",1217.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Jacksonville, FL",1338.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Jacksonville, FL",1520.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Indianapolis, IN",1185.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Indianapolis, IN",1248.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Indianapolis, IN",1374.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Indianapolis, IN",1560.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Columbus, OH",1283.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Columbus, OH",1351.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Columbus, OH",1486.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Columbus, OH",1687.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Fort Worth, TX",202.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Fort Worth, TX",212.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Fort Worth, TX",233.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Fort Worth, TX",266.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Charlotte, NC",1339.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Charlotte, NC",1408.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Charlotte, NC",1548.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Charlotte, NC",1760.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Seattle, WA",2429.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Seattle, WA",2556.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Seattle, WA",2813.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Seattle, WA",3197.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Denver, CO",1044.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Denver, CO",1098.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Denver, CO",1208.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Denver, CO",1373.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Washington, DC",2256.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Washington, DC",2374.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Washington, DC",3799.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Washington, DC",5224.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Philadelphia, PA",2208.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Philadelphia, PA",2325.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Philadelphia, PA",2560.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Philadelphia, PA",2908.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Phoenix, AZ",2383.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Phoenix, AZ",2510.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Phoenix, AZ",2760.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Phoenix, AZ",3137.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","San Antonio, TX",1743.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","San Antonio, TX",1835.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","San Antonio, TX",2018.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","San Antonio, TX",2293.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","San Diego, CA",3288.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","San Diego, CA",3462.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","San Diego, CA",3806.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","San Diego, CA",4325.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Dallas, TX",1758.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Dallas, TX",1850.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Dallas, TX",2035.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Dallas, TX",2313.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","San Francisco, CA",3739.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","San Francisco, CA",3935.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","San Francisco, CA",4328.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","San Francisco, CA",4920.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Austin, TX",2132.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Austin, TX",2245.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Austin, TX",2467.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Austin, TX",2803.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Jacksonville, FL",689.00,9' Cargo Van,Apartment - 1 bedroom / Studio / Deliveries
"Miami, FL","Jacksonville, FL",725.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Jacksonville, FL",763.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Jacksonville, FL",838.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Jacksonville, FL",953.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Indianapolis, IN",1777.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Indianapolis, IN",1870.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Indianapolis, IN",2057.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Indianapolis, IN",2338.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Columbus, OH",1595.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Columbus, OH",1678.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Columbus, OH",1848.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Columbus, OH",2098.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Fort Worth, TX",1785.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Fort Worth, TX",1878.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Fort Worth, TX",2068.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Fort Worth, TX",2348.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Charlotte, NC",1685.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Charlotte, NC",1771.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Charlotte, NC",1951.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Charlotte, NC",2214.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Seattle, WA",3947.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Seattle, WA",4154.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Seattle, WA",4572.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Seattle, WA",5194.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Denver, CO",2703.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Denver, CO",2846.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Denver, CO",3132.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Denver, CO",3558.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Washington, DC",2039.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Washington, DC",2146.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Washington, DC",2360.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Washington, DC",2684.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","Phoenix, AZ",2169.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","Phoenix, AZ",2284.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","Phoenix, AZ",2512.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","Phoenix, AZ",2853.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","San Antonio, TX",2033.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","San Antonio, TX",2140.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","San Antonio, TX",2355.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","San Antonio, TX",2675.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","San Diego, CA",3049.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","San Diego, CA",3209.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","San Diego, CA",3531.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","San Diego, CA",4012.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","Dallas, TX",1815.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","Dallas, TX",1910.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","Dallas, TX",2100.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","Dallas, TX",2388.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","San Francisco, CA",3231.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","San Francisco, CA",3402.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","San Francisco, CA",3744.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","San Francisco, CA",4253.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","Austin, TX",1978.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","Austin, TX",2083.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","Austin, TX",2290.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","Austin, TX",2603.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","Jacksonville, FL",1304.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","Jacksonville, FL",1373.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","Jacksonville, FL",1647.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","Jacksonville, FL",1990.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","Indianapolis, IN",599.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","Indianapolis, IN",630.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","Indianapolis, IN",693.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","Indianapolis, IN",788.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","Columbus, OH",487.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","Columbus, OH",512.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","Columbus, OH",564.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","Columbus, OH",641.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","Fort Worth, TX",1843.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","Fort Worth, TX",1938.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","Fort Worth, TX",2133.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","Fort Worth, TX",2423.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","Charlotte, NC",1069.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","Charlotte, NC",1126.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","Charlotte, NC",1351.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","Charlotte, NC",1632.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","Seattle, WA",3114.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","Seattle, WA",3279.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","Seattle, WA",3606.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","Seattle, WA",4096.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","Denver, CO",2043.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","Denver, CO",2150.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","Denver, CO",2365.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","Denver, CO",2688.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Philadelphia, PA","Washington, DC",174.00,9' Cargo Van,Apartment - 1 bedroom / Studio / Deliveries
"Philadelphia, PA","Washington, DC",158.00,10' Truck,Studio to 1 Bedroom Apt.
"Philadelphia, PA","Washington, DC",166.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Philadelphia, PA","Washington, DC",183.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Philadelphia, PA","Washington, DC",208.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Phoenix, AZ","San Antonio, TX",844.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","San Antonio, TX",888.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","San Antonio, TX",1110.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","San Diego, CA",284.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","San Diego, CA",299.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","San Diego, CA",374.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","Dallas, TX",886.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","Dallas, TX",933.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","Dallas, TX",1166.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","San Francisco, CA",474.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","San Francisco, CA",499.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","San Francisco, CA",624.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","Austin, TX",856.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","Austin, TX",902.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","Austin, TX",1127.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","Jacksonville, FL",1036.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","Jacksonville, FL",1090.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","Jacksonville, FL",1199.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","Jacksonville, FL",1363.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Phoenix, AZ","Indianapolis, IN",1684.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","Indianapolis, IN",1772.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","Indianapolis, IN",1950.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","Indianapolis, IN",2481.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Phoenix, AZ","Columbus, OH",1873.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","Columbus, OH",1971.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","Columbus, OH",2168.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","Columbus, OH",2957.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Phoenix, AZ","Fort Worth, TX",869.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","Fort Worth, TX",915.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","Fort Worth, TX",1144.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","Charlotte, NC",2026.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","Charlotte, NC",2133.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","Charlotte, NC",2346.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","Charlotte, NC",2986.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Phoenix, AZ","Seattle, WA",958.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","Seattle, WA",1008.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","Seattle, WA",1261.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","Denver, CO",655.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","Denver, CO",689.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","Denver, CO",861.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","Washington, DC",2174.00,10' Truck,Studio to 1 Bedroom Apt.
"Phoenix, AZ","Washington, DC",2288.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Phoenix, AZ","Washington, DC",2517.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Phoenix, AZ","Washington, DC",3432.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"San Antonio, TX","San Diego, CA",1520.00,10' Truck,Studio to 1 Bedroom Apt.
"San Antonio, TX","San Diego, CA",1601.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"San Antonio, TX","San Diego, CA",1760.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"San Antonio, TX","San Diego, CA",2001.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"San Antonio, TX","Dallas, TX",268.00,10' Truck,Studio to 1 Bedroom Apt.
"San Antonio, TX","Dallas, TX",282.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"San Antonio, TX","Dallas, TX",309.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"San Antonio, TX","Dallas, TX",352.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"San Antonio, TX","San Francisco, CA",1865.00,10' Truck,Studio to 1 Bedroom Apt.
"San Antonio, TX","San Francisco, CA",1964.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"San Antonio, TX","San Francisco, CA",2160.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"San Antonio, TX","San Francisco, CA",2454.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"San Antonio, TX","Austin, TX",104.00,10' Truck,Studio to 1 Bedroom Apt.
"San Antonio, TX","Austin, TX",109.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"San Antonio, TX","Austin, TX",120.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"San Antonio, TX","Austin, TX",136.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
